uniqid,serialid,isocntry,w_national,w_eu,w_eu27_legacy,act_emergency_food_drink,act_emergency_water,act_flashlight_candles,act_battery_radio,act_first_aid_kit,act_documents_safe,act_grab_bag,act_signed_up_alerts,act_training_exercise,act_knows_official_plan,act_family_contact_plan,act_neighbourhood_discussion,act_home_protection,act_other,actions_dk,n_actions_survey_banded,days_water,days_power,days_gas_heating,days_food,days_medication,info_saw_info_last_12m,info_feels_informed,info_trusts_official_info,info_info_easy_to_find,info_knows_where_abroad,prep_prep_helps_cope,prep_feels_well_prepared,prep_no_time_or_money,prep_prep_info_easy,prep_needs_more_info,prep_knows_alert_channel,prep_knows_what_to_do,prep_employer_encourages,prep_services_encourage,no_disaster_experience,n_disasters_experienced,top_personal_risk,top_country_risk,trusts_emergency_services,volunteers_for_responders,gender,age,age_band,community_type,bill_difficulties,social_class,days_water_not_applicable,days_water_dont_know,days_power_not_applicable,days_power_dont_know,days_gas_heating_not_applicable,days_gas_heating_dont_know,days_food_not_applicable,days_food_dont_know,days_medication_not_applicable,days_medication_dont_know,info_saw_info_last_12m_agree,info_saw_info_last_12m_agree_topline,info_feels_informed_agree,info_feels_informed_agree_topline,info_trusts_official_info_agree,info_trusts_official_info_agree_topline,info_info_easy_to_find_agree,info_info_easy_to_find_agree_topline,info_knows_where_abroad_agree,info_knows_where_abroad_agree_topline,prep_prep_helps_cope_agree,prep_prep_helps_cope_agree_topline,prep_feels_well_prepared_agree,prep_feels_well_prepared_agree_topline,prep_no_time_or_money_agree,prep_no_time_or_money_agree_topline,prep_prep_info_easy_agree,prep_prep_info_easy_agree_topline,prep_needs_more_info_agree,prep_needs_more_info_agree_topline,prep_knows_alert_channel_agree,prep_knows_alert_channel_agree_topline,prep_knows_what_to_do_agree,prep_knows_what_to_do_agree_topline,prep_employer_encourages_agree,prep_employer_encourages_agree_topline,prep_services_encourage_agree,prep_services_encourage_agree_topline,n_actions,country,country_grouped,saw_info,took_any_action,n_horizon_answered
230015901.0,15901.0,LT,1.0859785582343107,0.1788402911412575,0.17363611115269767,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,,2.0,3.0,3.0,3.0,2.0,2.0,,1.0,6.0,14.0,11.0,2.0,4.0,2.0,53.0,4.0,1.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,False,0,False,0,True,1,True,1,,0,False,0,True,1,True,1,True,1,False,0,False,0,,0,6.0,LT,LT,True,True,5
230015902.0,15902.0,LT,0.5691745319946175,0.09373236537709236,0.09100479153417934,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,,3.0,2.0,2.0,3.0,2.0,0.0,1.0,14.0,11.0,2.0,3.0,2.0,67.0,6.0,1.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,False,0,False,0,True,1,True,1,False,0,False,0,,0,True,1,False,0,False,0,True,1,False,0,7.0,LT,LT,True,True,5
230015903.0,15903.0,LT,0.5691745319946175,0.09373236537709236,0.09100479153417934,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,,,3.0,,,,,,,,,1.0,6.0,14.0,14.0,2.0,4.0,2.0,85.0,7.0,1.0,2.0,2.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,False,0,,0,,0,True,1,,0,,0,,0,,0,,0,,0,,0,,0,5.0,LT,LT,True,True,5
230015904.0,15904.0,LT,0.46068396604123213,0.0758660048913663,0.07365833489738391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,6.0,12.0,12.0,2.0,4.0,2.0,68.0,6.0,3.0,3.0,4.0,False,False,False,False,True,False,False,False,False,False,True,1,True,1,False,0,False,0,True,1,False,0,False,0,False,0,True,1,True,1,True,1,True,1,False,0,False,0,8.0,LT,LT,True,True,4
230015905.0,15905.0,LT,0.46068396604123213,0.0758660048913663,0.07365833489738391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,,4.0,1.0,6.0,14.0,9.0,1.0,4.0,2.0,73.0,6.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,True,1,True,1,True,1,True,1,False,0,True,1,True,1,True,1,True,1,False,0,,0,True,1,1.0,LT,LT,True,True,5
230015906.0,15906.0,LT,0.8789797876055572,0.14475147776236455,0.1405392684269953,,,,,,,,,,,,,,,1.0,6.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,6.0,14.0,12.0,1.0,4.0,2.0,52.0,4.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,False,0,True,1,True,1,True,1,True,1,False,0,True,1,True,1,True,1,True,1,True,1,False,0,True,1,,LT,LT,True,,5
230015907.0,15907.0,LT,0.46068396604123213,0.0758660048913663,0.07365833489738391,,,,,,,,,,,,,,,1.0,6.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,,4.0,0.0,1.0,15.0,9.0,1.0,4.0,2.0,76.0,7.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,True,1,True,1,True,1,True,1,True,1,False,0,True,1,False,0,True,1,True,1,,0,True,1,,LT,LT,True,,5
230015908.0,15908.0,LT,0.5675882842750842,0.09347114014218097,0.09075116784772976,,,,,,,,,,,,,,,1.0,6.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,,4.0,0.0,1.0,15.0,12.0,1.0,4.0,1.0,78.0,7.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,False,0,True,1,True,1,True,1,False,0,False,0,True,1,False,0,True,1,True,1,,0,True,1,,LT,LT,True,,5
230015909.0,15909.0,LT,0.5675882842750842,0.09347114014218097,0.09075116784772976,,,,,,,,,,,,,,,1.0,6.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,,4.0,1.0,6.0,2.0,10.0,1.0,4.0,1.0,76.0,7.0,3.0,3.0,1.0,False,False,False,False,False,False,False,False,False,False,True,1,True,1,True,1,True,1,True,1,True,1,False,0,False,0,True,1,True,1,True,1,True,1,,0,True,1,,LT,LT,True,,5
230015910.0,15910.0,LT,0.42466322921010197,0.06993406543164446,0.06789901247173549,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,4.0,,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,,3.0,1.0,6.0,15.0,3.0,2.0,4.0,2.0,66.0,6.0,1.0,3.0,3.0,True,False,False,False,True,False,False,False,False,False,True,1,False,0,False,0,True,1,True,1,True,1,False,0,True,1,False,0,True,1,True,1,True,1,,0,True,1,3.0,LT,LT,True,True,3
